,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
46,0.163200366,0.233105222,0.31331999,0.406081078,0.505225994,0.602159897,0.690195444,0.766786757,0.832280874,0.888205191,0.936290138,0.978071756,1.014782578,1.047361161
47,0.041862087,0.045008474,0.130012448,0.246000697,0.35699737,0.447850894,0.518782864,0.573857989,0.616463385,0.649057454,0.673572912,0.691600285,0.704423313,0.713035639
48,0.157474293,0.193874409,0.233568788,0.280973378,0.332468406,0.381822591,0.424269169,0.458688723,0.486254482,0.508677615,0.527343579,0.54312133,0.556459205,0.567544944
49,0.178388492,0.227494821,0.280906143,0.339903523,0.399609065,0.455150629,0.50407975,0.546601727,0.583743745,0.616183041,0.644082983,0.667310616,0.685665126,0.699021891
50,0.023757083,0.066012168,0.050346589,0.004987527,0.05694021,0.087012637,0.097681394,0.097597195,0.093699796,0.090031433,0.088540966,0.089935228,0.094241218,0.101140534
51,0.000894247,0.08017629,0.063383849,0.009071138,0.046075741,0.085336193,0.107772852,0.117783265,0.119705644,0.116780259,0.11136448,0.10519212,0.099509367,0.09515078
52,0.161501791,0.249798952,0.308662142,0.393218882,0.505597935,0.631871451,0.762180443,0.889030072,1.006859732,1.112580812,1.205315976,1.285640514,1.354833925,1.41436259
53,0.244083354,0.252156035,0.315130787,0.460631343,0.629450014,0.780915474,0.907331054,1.009681036,1.088895382,1.146142059,1.183754652,1.205167178,1.214342565,1.215184165
54,0.126882021,0.345395697,0.444544102,0.513676237,0.603804864,0.733931005,0.89614212,1.074324164,1.255005643,1.4292707,1.591880199,1.74011459,1.872862794,1.989995615
55,0.287921908,0.254543171,0.346201504,0.605395127,0.894563744,1.156747433,1.386089513,1.587012638,1.762289594,1.913654806,2.043321883,2.154219214,2.249570144,2.3324278
56,0.196203839,0.295873875,0.400803593,0.498841452,0.598419294,0.704817963,0.817502337,0.931662139,1.041734829,1.143535602,1.234724566,1.314446802,1.382787729,1.440332898
57,0.195921783,0.392833926,0.505822458,0.606197067,0.715209788,0.831809672,0.951592941,1.069613953,1.180861733,1.281491105,1.369316017,1.443584079,1.504507516,1.552842777
58,0.28975219,0.351846103,0.356692573,0.357652316,0.372140384,0.397308017,0.429104735,0.465136382,0.504291765,0.547196207,0.595656662,0.651360266,0.714884473,0.785516597
59,0.033186406,0.100496008,0.05575767,0.033135581,0.122538052,0.191490745,0.238356501,0.26810367,0.285551736,0.294237228,0.296804856,0.295353926,0.291571448,0.286769231
60,0.177689543,0.122109421,0.338249422,0.58347242,0.823546897,1.036778655,1.219214264,1.373161308,1.501091255,1.605177984,1.687911615,1.752210044,1.801133981,1.837552663
61,0.137183948,0.147136827,0.164276996,0.184351942,0.204999592,0.224728436,0.241910209,0.255759422,0.26617407,0.273261601,0.277142725,0.277945309,0.275842501,0.2710765
